trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-8.719688191060126,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.5915553643668151}",25,7,0.54498216465656,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-83.51615545782604,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.5856692901447937}",25,0,-98.43399317424885,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,15,-19.777620112538788,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.5798417833398464}",20,6,-21.474159358204677,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,5,-45.726418593541695,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.574072261196436}",25,11,12.070421394545866,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,11,12.942959208148032,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.5683601467575404}",25,0,-63.12570175610292,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,0,-5.403339573764262,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.5627048688069557}",25,0,-99.62754892538274,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.559898366565402}",30,0,-47.01922173761314,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.5571058618121739}",25,0,-86.58462376019702,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,0,-53.490922111582584,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.5515625658678298}",35,0,-134.745956077004,"{0: 25, 1: 2, 2: 4, 3: 2, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.5488116360940264}",25,0,-37.00263274740432,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.5460744266397094}",25,0,-42.726974227875175,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-54.38147011693876,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.5406408953093166}",20,13,-49.94040114240288,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-10.595392135903957,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.5352614285189903}",20,10,-14.252478464492524,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,0,-108.811503948353,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.5299354883175685}",25,0,-9.674846768863352,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,-57.42557203811304,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.5246625421065929}",25,0,-54.40918409969163,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-34.05500275242868,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.5194420625870482}",30,0,-42.760956547625284,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,1,-83.7550046422132,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
133,False,"{'a': 0.5, 'e': 0.5142735277066319}",25,0,29.90029840713513,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,0,20.56868411806019,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.5091564206075492}",30,7,-26.335839539542963,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.5066169923655895}",30,6,-40.52532337881579,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.5040902295748255}",30,1,-63.07782971784826,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,0,-55.59977285196775,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.49907444798513595}",25,6,-14.25104873196004,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
