trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-53.24080917611229,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9093729344682314}",20,0,-133.12282741420773,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,6,-101.11322506232725,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-103.27560175338616,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-50.85777655643341,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-104.16351585745741,"{0: 16, 1: 0, 2: 6, 3: 3, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-113.57008773219802,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-124.75058732747578,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-78.81640500122383,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-43.12688150478593,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-130.012239087115,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-65.3843267585285,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
